Date,Time,DHT11_Temp,DHT11_Humidity,Soil Moisture,CPU_Temperature
5/18/2022,10:04:21,50.4,95,1939.393939,55.504
5/18/2022,10:06:49,50.4,95,1933.13783,55.991
5/18/2022,10:06:52,50.4,95,1939.393939,55.017
5/18/2022,10:06:54,50.4,95,1933.13783,55.504
5/18/2022,10:06:56,50.4,95,1933.13783,56.478
5/18/2022,10:07:41,50.4,95,1933.13783,56.965
5/18/2022,10:07:43,50.4,95,1939.393939,54.53
5/18/2022,10:07:48,50.4,95,1933.13783,55.991
5/18/2022,10:07:50,50.4,95,1933.13783,56.478
5/18/2022,10:07:55,50.4,95,1939.393939,55.991
5/18/2022,10:07:57,50.4,95,1939.393939,55.017
5/18/2022,10:07:59,50.4,95,1939.393939,55.991
5/18/2022,10:08:01,50.4,95,1933.13783,56.478
5/18/2022,10:08:04,50.4,95,1933.13783,56.478
5/18/2022,10:08:06,50.4,95,1933.13783,56.478
5/18/2022,10:08:08,50.4,95,1939.393939,55.504
5/18/2022,10:08:11,50.4,95,1933.13783,55.991
5/18/2022,10:08:13,50.4,95,1939.393939,55.504
5/18/2022,10:08:17,50.4,95,1939.393939,55.017
5/18/2022,10:08:20,50.4,95,1939.393939,55.991
5/18/2022,10:08:22,50.4,95,1933.13783,56.478
5/18/2022,10:08:24,50.4,95,1939.393939,56.965
5/18/2022,10:08:26,50.4,95,1939.393939,56.478
5/18/2022,10:08:29,50.4,95,1939.393939,56.965
5/18/2022,10:08:31,50.4,95,1933.13783,56.478
5/18/2022,10:08:33,50.4,95,1933.13783,55.504
5/18/2022,10:08:35,50.4,95,1939.393939,55.991
5/18/2022,10:08:38,50.4,95,1939.393939,57.452
5/18/2022,10:08:47,50.4,95,1939.393939,56.478
5/18/2022,10:08:49,50.4,95,1939.393939,55.991
5/18/2022,10:08:51,50.4,95,1933.13783,56.965
5/18/2022,10:08:53,50.4,95,1939.393939,55.504
5/18/2022,10:08:56,50.4,95,1933.13783,56.965
5/18/2022,10:08:58,50.4,95,1939.393939,56.478
5/18/2022,10:09:00,50.4,95,1939.393939,56.478
5/18/2022,10:09:03,50.4,95,1933.13783,55.991
5/18/2022,10:09:05,50.4,95,1939.393939,56.965
5/18/2022,10:09:07,50.4,95,1926.88172,56.478
5/18/2022,10:09:09,50.4,95,1933.13783,55.504
5/18/2022,10:09:12,50.4,95,1933.13783,56.478
5/18/2022,10:09:14,50.4,95,1939.393939,55.991
5/18/2022,10:09:16,50.4,95,1939.393939,56.965
5/18/2022,10:09:18,50.4,95,1939.393939,55.504
5/18/2022,10:09:21,50.4,95,1933.13783,55.504
5/18/2022,10:09:23,50.4,95,1939.393939,55.991
5/18/2022,10:09:25,50.4,95,1933.13783,57.452
5/18/2022,10:09:27,50.4,95,1933.13783,55.991
5/18/2022,10:09:30,50.4,95,1939.393939,55.991
5/18/2022,10:09:32,50.4,95,1939.393939,56.478
5/18/2022,10:09:34,50.4,95,1945.650049,56.478
5/18/2022,10:09:37,50.4,95,1939.393939,55.991
5/18/2022,10:09:39,50.4,95,1933.13783,56.478
5/18/2022,10:09:41,50.4,95,1939.393939,56.478
5/18/2022,10:09:43,50.4,95,1939.393939,56.478
5/18/2022,10:09:46,50.4,95,1939.393939,55.991
5/18/2022,10:09:48,50.4,95,1939.393939,56.965
5/18/2022,10:09:50,50.4,95,1939.393939,55.991
5/18/2022,10:09:52,50.4,95,1939.393939,55.017
5/18/2022,10:09:55,50.4,95,1933.13783,56.478
5/18/2022,10:09:57,50.4,95,1933.13783,55.991
5/18/2022,10:09:59,50.4,95,1933.13783,55.504
5/18/2022,10:10:01,50.4,95,1933.13783,55.504
5/18/2022,10:10:06,50.4,95,1926.88172,56.965
5/18/2022,10:10:08,50.4,95,1939.393939,56.478
5/18/2022,10:10:10,50.4,95,1939.393939,56.478
5/18/2022,10:10:13,50.4,95,1933.13783,56.965
5/18/2022,10:10:15,50.4,95,1933.13783,56.478
5/18/2022,10:10:17,50.4,95,1939.393939,56.478
5/18/2022,10:10:20,50.4,95,1939.393939,55.017
5/18/2022,10:10:22,50.4,95,1945.650049,55.991
5/18/2022,10:10:24,50.4,95,1933.13783,55.504
5/18/2022,10:10:26,50.4,95,1939.393939,55.504
5/18/2022,10:10:29,50.4,95,1920.625611,56.478
5/18/2022,10:10:31,50.4,95,1939.393939,55.017
5/18/2022,10:10:33,50.4,95,1933.13783,55.504
5/18/2022,10:10:35,50.4,95,1939.393939,56.478
5/18/2022,10:10:38,50.4,95,1939.393939,55.017
5/18/2022,10:10:40,50.4,95,1939.393939,55.991
5/18/2022,10:10:42,50.4,95,1933.13783,55.504
5/18/2022,10:10:44,50.4,95,1926.88172,55.991
5/18/2022,10:10:47,50.4,95,1933.13783,55.504
5/18/2022,10:10:49,50.4,95,1933.13783,55.017
5/18/2022,10:10:51,50.4,95,1939.393939,55.504
5/18/2022,10:10:53,50.4,95,1933.13783,55.991
5/18/2022,10:10:56,50.4,95,1933.13783,55.991
5/18/2022,10:10:58,50.4,95,1926.88172,55.504
5/18/2022,10:11:00,50.4,95,1933.13783,55.991
5/18/2022,10:11:03,50.4,95,1933.13783,55.017
5/18/2022,10:11:07,50.4,95,1926.88172,55.017
